x,y
0.5,0.5458984375
0.5,0.5556640625
0.5,0.5166015625
0.5,0.5185546875
0.5,0.470703125
0.5,0.5625
0.5,0.529296875
0.5,0.5380859375
0.5,0.546875
0.5,0.541015625
0.5,0.5380859375
0.5,0.5419921875
0.5,0.5537109375
0.5,0.5458984375
0.5,0.5458984375
0.5,0.55078125
0.5,0.56640625
0.5,0.54296875
0.5,0.53515625
0.5,0.5341796875
0.5,0.513671875
0.5,0.5244140625
0.5,0.5234375
0.5,0.4970703125
0.5,0.52734375
0.5,0.5517578125
0.5,0.5068359375
0.5,0.53125
0.5,0.529296875
0.5,0.529296875
0.5,0.529296875
0.5,0.5146484375
0.5,0.55078125
0.5,0.5439453125
0.5,0.5234375
0.5,0.513671875
0.5,0.53515625
0.5,0.5185546875
0.5,0.53515625
0.5,0.5224609375
0.5,0.556640625
0.5,0.5517578125
0.5,0.5341796875
0.5,0.5283203125
0.5,0.5048828125
0.5,0.55078125
0.5,0.5205078125
0.5,0.5302734375
0.5,0.5263671875
0.5,0.5400390625
0.5,0.537109375
0.5,0.5576171875
0.5,0.5068359375
0.5,0.5302734375
0.5,0.5361328125
0.5,0.552734375
0.5,0.5380859375
0.5,0.5556640625
0.5,0.556640625
0.5,0.5458984375
0.5,0.5341796875
0.5,0.52734375
0.5,0.5341796875
0.5,0.541015625
0.5,0.5341796875
0.5,0.509765625
0.5,0.5439453125
0.5,0.5
0.5,0.55078125
0.5,0.5439453125
0.5,0.515625
0.5,0.533203125
0.5,0.537109375
0.5,0.5390625
0.5,0.537109375
0.5,0.5224609375
0.5,0.51953125
0.5,0.5087890625
0.5,0.529296875
0.5,0.5126953125
0.5,0.5419921875
0.5,0.513671875
0.5,0.51953125
0.5,0.501953125
0.5,0.5107421875
0.5,0.5087890625
0.5,0.5146484375
0.5,0.52734375
0.5,0.533203125
0.5,0.5576171875
0.5,0.51171875
0.5,0.51171875
0.5,0.51953125
0.5,0.5234375
0.5,0.5322265625
0.5,0.5283203125
0.5,0.544921875
0.5,0.54296875
0.5,0.5390625
0.5,0.53515625
0.5,0.517578125
0.5,0.5224609375
0.5,0.5205078125
0.5,0.5380859375
0.5,0.546875
0.5,0.5380859375
0.5,0.5224609375
0.5,0.5498046875
0.5,0.51171875
0.5,0.515625
0.5,0.5146484375
0.5,0.4970703125
0.5,0.552734375
0.5,0.51171875
0.5,0.5322265625
0.5,0.525390625
0.5,0.5107421875
0.5,0.50390625
0.5,0.5341796875
0.5,0.548828125
0.5,0.54296875
0.5,0.5263671875
0.5,0.5302734375
0.5,0.51953125
0.5,0.517578125
0.5,0.5400390625
0.5,0.51953125
0.5,0.5283203125
0.5,0.5322265625
0.5,0.546875
0.5,0.533203125
0.5,0.5107421875
0.5,0.5
0.5,0.521484375
0.5,0.5205078125
0.5,0.5283203125
0.5,0.56640625
0.5,0.53125
0.5,0.55859375
0.5,0.5302734375
0.5,0.5205078125
0.5,0.5517578125
0.5,0.5126953125
0.5,0.5380859375
0.5,0.5546875
0.5,0.53515625
0.5,0.537109375
0.5,0.47265625
0.5,0.5185546875
0.5,0.5419921875
0.5,0.5263671875
0.5,0.5166015625
0.5,0.529296875
0.5,0.533203125
0.5,0.533203125
0.5,0.525390625
0.5,0.533203125
0.5,0.55078125
0.5,0.525390625
0.5,0.5341796875
0.5,0.5341796875
0.5,0.53125
0.5,0.5322265625
0.5,0.5244140625
0.5,0.484375
0.5,0.5283203125
0.5,0.5185546875
0.5,0.5078125
0.5,0.55859375
0.5,0.5498046875
0.5,0.541015625
0.5,0.5185546875
0.5,0.4970703125
0.5,0.51953125
0.5,0.51953125
0.5,0.517578125
0.5,0.53515625
0.5,0.53515625
0.5,0.5478515625
0.5,0.5361328125
0.5,0.541015625
0.5,0.5458984375
0.5,0.552734375
0.5,0.515625
0.5,0.55078125
0.5,0.546875
0.5,0.5439453125
0.5,0.5078125
0.5,0.5126953125
0.5,0.49609375
0.5,0.525390625
0.5,0.5400390625
0.5,0.5537109375
0.5,0.5283203125
0.5,0.53515625
0.5,0.5263671875
0.5,0.5439453125
0.5,0.517578125
0.5,0.533203125
0.5,0.533203125
0.5,0.521484375
0.5,0.546875
0.5,0.5283203125
0.5,0.5341796875
0.5,0.5166015625
0.5,0.5205078125
0.5,0.5185546875
0.5,0.515625
0.5,0.5380859375
0.5,0.5380859375
0.5,0.5224609375
0.5,0.5234375
0.5,0.5302734375
0.5,0.5380859375
0.5,0.4775390625
0.5,0.5615234375
0.5,0.529296875
0.5,0.5302734375
0.5,0.5419921875
0.5,0.5234375
0.5,0.5361328125
0.5,0.5419921875
0.5,0.52734375
0.5,0.544921875
0.5,0.5322265625
0.5,0.5224609375
0.5,0.5166015625
0.5,0.5029296875
0.5,0.51171875
0.5,0.52734375
0.5,0.501953125
0.5,0.5234375
0.5,0.546875
0.5,0.521484375
0.5,0.5205078125
0.5,0.5205078125
0.5,0.4833984375
0.5,0.5302734375
0.5,0.5234375
0.5,0.560546875
0.5,0.5419921875
0.5,0.55078125
0.5,0.51953125
0.5,0.515625
0.5,0.513671875
0.5,0.533203125
0.5,0.5361328125
0.5,0.525390625
0.5,0.5458984375
0.5,0.51953125
0.5,0.541015625
0.5,0.5224609375
0.5,0.5263671875
0.5,0.537109375
0.5,0.5400390625
0.5,0.5322265625
