"p0","p1","eps"
0.819178042792203,0.781053557825427,0.00313937440237683
0.986598122094688,0.843531680115391,0.00676045397453701
0.994890052791512,0.95835062312185,0.00541597708477125
0.974070792517128,0.900729030029983,0.00554708044759079
0.938307696075635,0.798184938470645,0.00609690547156025
0.992840392311963,0.882762325404733,0.0063049965830909
0.794562382220837,0.924843228709981,0.00192522379220875
0.73248981281699,0.784890946005582,0.00116991586846138
0.802937611057147,0.924993832701779,0.00209167674173392
0.888833064270321,0.930441046904699,0.00357938052581243
0.823337730589538,0.853627840599046,0.00280019923377425
0.973397618856086,0.896243688552246,0.00562842304864278
0.90390132622785,0.855509498650647,0.00448564246297993
0.867974433683945,0.929390591196445,0.00315916439986722
0.968343395522365,0.950443538371754,0.00496373563233488
0.808953123757289,0.976327380646561,0.00201272951040358
0.885518110230148,0.883713294512747,0.00385952029342655
0.818477547854009,0.976641911428278,0.00215073860132911
0.768051382533561,0.916377565321401,0.00151322685535357
0.938145798916056,0.855535462362075,0.00530516424698396
0.950407111740603,0.79809508763863,0.00650597579853407
0.812016382866223,0.881324243832253,0.00241925549674661
0.897025939285707,0.927450602416509,0.00376486853818185
0.974605283455727,0.926042352467803,0.00530256227580827
0.903254038284264,0.889999380520348,0.00417709861118166
0.958095864527114,0.792772505226258,0.00674487149484922
0.862344670986327,0.913105157994195,0.00320447617422429
0.960716338831305,0.848029775370869,0.00598065229881831
0.996001153367078,0.849665134028171,0.00693048462197525
0.894577186242724,0.688949342593886,0.0066846897639171
0.982974061151957,0.898112066735177,0.00583087958129928
0.81907172304549,0.848287640313453,0.00271996013311871
0.796138842671856,0.975884727181489,0.00180284615164627
0.94307297473534,0.985770015027517,0.00420177820732877
0.930746622147153,0.950530060969056,0.00422725494696393
0.961007130734761,0.912818918140283,0.00517068619089924
0.840508488905931,0.941278999891633,0.00264958741711299
0.909408878320134,0.887122765099372,0.00431463713565005
0.996804796972505,0.955448693907714,0.00547625038512429
0.998659443936931,0.944392123440414,0.00565959113932497
0.887851647063113,0.847223583115749,0.0041777889472471
0.878486483543117,0.790126484732592,0.00452537370222831
0.933090999225967,0.969207883346209,0.00416210725620716
0.803288319766864,0.915350973063207,0.00211784656920128
0.954110654451042,0.940733775054416,0.00477806391924502
0.913080612677013,0.996169363933915,0.00359554540512592
0.874996186453621,0.98899693084086,0.00302710095851462
0.879600246400867,0.874153903986994,0.00380908375215179
0.930767917772802,0.832584839260637,0.0054269992073577
0.931898661793983,0.792643684557021,0.00605282650014962
0.79269481182629,0.77462494216221,0.00256601867050475
0.941751614151385,0.887831250300633,0.00498683890098912
0.921775653276291,0.848862262360593,0.00498707988125858
0.93555444194656,0.847132702118268,0.00535754582949763
0.738356119936582,0.972295357774996,0.000921409948799062
0.960273280001735,0.835887454792518,0.00608787652623095
0.87115404059022,0.94983109705852,0.00315967991429464
0.922603949115869,0.875058305218124,0.00473347438119871
0.866295683273142,0.828813716754034,0.00385704361885011
0.848044699476726,0.994589420122978,0.00256737154046112
0.942290956636374,0.913822234857358,0.0047469176704379
0.924823114865088,0.937421856241527,0.00421716995023078
0.844116190398053,0.803978429184189,0.00359038966885298
0.905615711249006,0.924451146513996,0.00398745474642937
0.97383094318945,0.932612487666291,0.00526431707160571
0.940098902080986,0.813522756768627,0.00585654377346229
0.938403077745422,0.839360593933051,0.005471478390445
0.919348863569735,0.90495308917057,0.00436294971971507
0.988552339909189,0.942343228946816,0.00545614687613821
0.844187253657477,0.962457118066159,0.00265755103438687
0.901306144841556,0.974400920583634,0.00355841508011703
0.916772045968139,0.969175817959953,0.00384539080527185
0.978380259643076,0.90271340762522,0.0056812406156162
0.954436663647468,0.772212073954106,0.00709927564423333
0.933513267601477,0.866708811965832,0.00502960267884436
0.943718660411682,0.749960134240766,0.00721102226294296
0.838575721783291,0.89962114949931,0.00282612349254477
0.908889326571444,0.927837410150333,0.00397217284645446
0.800845427465016,0.93393407764969,0.00202868609282747
