"p0","p1","eps","sigma","lp__",".iteration"
0.854992404036126,0.877607241244684,0.00722970691835085,0.023225172178005,833.509283162458,1
0.969454231918706,0.924583857590695,0.0106666820358134,0.0212140187091126,833.021714029993,2
0.945367118937676,0.879255254650351,0.0113549131692989,0.0228892093432967,833.88279921777,3
0.984450249170714,0.951768246058935,0.0102873879130332,0.0231838708586273,831.880972093846,4
0.921741947291417,0.908150117079657,0.00899930498839412,0.021136245047946,833.768981538374,5
0.940179487793266,0.930881261550326,0.0091101390029535,0.0232871361052154,833.19497833741,6
0.889071891004283,0.773819200941377,0.0147373834320878,0.0228520296539978,833.185125568548,7
0.962867381635936,0.879090038138471,0.0124036861081082,0.0224650192102331,833.301522200157,8
0.862125661823021,0.913576279898427,0.00671269875520926,0.0221113112212674,834.13396019605,9
0.900562821338233,0.89030804245186,0.00855275378136554,0.0242017417960816,832.280372546681,10
0.906473444671068,0.890499935569883,0.00894887126784021,0.0221518711313147,834.071664821408,11
0.993396033637059,0.860270555268039,0.0192664401272683,0.0230351321409778,831.198288280741,12
0.946600301965154,0.82474744897957,0.0154195785159555,0.0232904215677806,831.013774400339,13
0.93627254371208,0.991059316008487,0.00747144201631228,0.0224347862748054,831.675884450064,14
0.923115843375843,0.849332699813958,0.011718715807408,0.02150549137254,833.291769242548,15
0.933643037347629,0.917054109114179,0.00931791944760884,0.0210759899484773,832.95479926884,16
0.931374998906293,0.940532772276019,0.00832102703552242,0.0221968040393369,832.664296767471,17
0.772357267690044,0.971542713974641,0.00374233173490637,0.0229415455506139,831.096319599377,18
0.966846096939692,0.914587146265569,0.0109040826723636,0.0237384492842795,832.413857110061,19
0.887347056240847,0.933891422478568,0.00711588281834267,0.0226059670560819,833.947308261757,20
0.823899564842279,0.808885055297458,0.00778383960669242,0.0212475024606227,832.637226865162,21
0.996792036689359,0.983273709680851,0.00987342252059249,0.0233294298767311,828.823400868242,22
0.986985140950212,0.914599220408186,0.0120165679094363,0.0231199832736902,831.908918822714,23
0.894329097337105,0.81783864399123,0.0114312111821465,0.0215987968155526,833.640009658424,24
0.88369810413985,0.944850319052212,0.00684636659554898,0.0218187061111745,833.627589057915,25
0.962531708798458,0.847674714298494,0.0163412530173835,0.0230579133557328,831.292903844029,26
0.869991669792918,0.995934892232035,0.00561921024610458,0.0215644391796141,829.704853667296,27
0.98824750379228,0.942390245899025,0.0110367364370935,0.0230771387228635,831.192355974388,28
0.901631076982539,0.784948531273561,0.0150750204333193,0.0216633393640557,833.531458370176,29
0.902874689360626,0.769683172279187,0.0175287300115231,0.0194480113713414,828.242253201407,30
0.860815155306033,0.795628370544245,0.010080068750977,0.0236128369893505,832.665783102511,31
0.898353669833866,0.828136559013016,0.0110744165126804,0.0219664586476151,834.045679049759,32
0.909543278144763,0.924081430602486,0.0081782215111626,0.0217840836240601,833.304985423397,33
0.963109771450691,0.817679833345034,0.0230271768760209,0.0221795053830661,832.126744492174,34
0.967925607284269,0.933450409820452,0.0101379410131152,0.0240518765713542,831.595594699755,35
0.973328340521164,0.987602616714416,0.00881945475934246,0.0227791161237032,831.264471634065,36
0.908929666678405,0.840735696289523,0.0113032514120698,0.0222409016270633,832.7102738861,37
0.978544020822883,0.911865616141824,0.0119544091098822,0.0217689267839321,832.435499751663,38
0.757601307502239,0.97023017773959,0.00354354444939965,0.0214620855195263,829.302689409765,39
0.954060398456163,0.803356925037879,0.0313409298726924,0.0237092745490861,829.463685987195,40
0.926093165697956,0.980006606132618,0.00750313032300981,0.0233612662654966,831.41664262853,41
0.890351396305937,0.879640510804238,0.00861713477508429,0.0217515266096688,833.653108438775,42
0.94278078313541,0.999456802748342,0.00759073675312758,0.0213021798958358,828.458098325158,43
0.960902134079423,0.892535590436838,0.0115764106599587,0.0231825820380162,833.262608145404,44
0.7681783767498,0.917262736515682,0.00412772666496018,0.0234165222164641,831.785285267781,45
0.873620783246468,0.8957945047012,0.00759770318083903,0.0219626917661266,832.549065144014,46
0.94256700213306,0.801910366009311,0.019599886139118,0.0225125722839855,831.855909025555,47
0.829741813067649,0.891860991446194,0.00617018331549504,0.0210608945580607,832.543414980114,48
0.882906466965756,0.860745992535589,0.00870000587903589,0.021226203147293,833.860613811292,49
0.901272361564879,0.879345701247962,0.00900386346514177,0.0245932149255403,831.725916229051,50
0.960194396150895,0.877930108032097,0.0124371262748247,0.0215268054542157,833.720987445759,51
0.828102082026387,0.853842213842954,0.00679152193597545,0.0228382584110746,833.469049663484,52
0.916889924923319,0.775651801262415,0.0221351212455043,0.0217651255074234,832.568219826188,53
0.881071002052106,0.776702917689489,0.0136539307947669,0.0219598006436512,832.57569133553,54
0.965779539154534,0.887041109694558,0.0125522204867096,0.0224021842971366,832.960222517193,55
0.88778993509954,0.805642524090084,0.011442783801355,0.0219634207886541,833.960783183165,56
0.820154456715181,0.998007867619215,0.0045560294448216,0.0223717334454962,829.772156165621,57
0.933232371947256,0.816476169585764,0.0156875212704848,0.0219012255950345,833.578444306,58
0.959863102580983,0.855205079032331,0.0139555409082026,0.022260047097493,833.094223015856,59
0.932430772154522,0.916206910708316,0.00912881123691776,0.0219112744148702,834.050895371092,60
0.781314064502989,0.839989933443276,0.00551455114744942,0.0229006476086273,831.992263616372,61
0.945502626250213,0.989669777430168,0.0078929554887311,0.0230020356555643,831.09846118505,62
